map_name,raw_box_size_pixel,raw_pixel_size_angstrom
emd_15230,240,1.32
emd_15264,288,0.837
emd_27384,360,0.83100003
emd_27428,300,0.85
emd_27429,256,1.03
emd_32484,160,1.245
emd_33733,300,0.82
emd_33736,256,0.82
emd_34202,256,0.829
emd_34685,400,1.06
emd_36458,800,1.087
emd_36502,800,1.087
emd_36504,800,1.087
emd_36509,800,1.087
emd_36514,800,1.087
emd_36517,800,1.087
emd_36518,800,1.087
emd_36523,800,1.087
emd_36525,800,1.087
emd_36529,800,1.087
emd_36530,800,1.087
emd_36531,800,1.087
emd_36533,800,1.087
emd_36538,800,1.087
emd_36539,800,1.087
emd_36540,800,1.087
emd_36544,800,1.087
emd_36545,800,1.087
emd_36564,800,1.087
emd_36580,800,1.087
emd_36585,800,1.087
emd_14778,256,0.889
emd_14960,256,0.889
emd_15265,288,0.837
emd_16155,520,0.829
emd_16493,400,0.86
emd_16678,560,0.7303
emd_27459,300,1.083
emd_33590,224,1.014
emd_33735,336,0.82
emd_33738,256,0.82
emd_33740,256,0.82
emd_33866,256,1.08
emd_33930,256,0.86
emd_36499,800,1.087
emd_36501,800,1.087
emd_36503,800,1.087
emd_36511,800,1.087
emd_36513,800,1.087
emd_36515,800,1.087
emd_36519,800,1.087
emd_36527,800,1.087
emd_36528,800,1.087
emd_36542,800,1.087
emd_36543,800,1.087
emd_36550,800,1.087
emd_36553,800,1.087
emd_36555,800,1.087
emd_36556,800,1.087
emd_36557,800,1.087
emd_36561,800,1.087
emd_36565,800,1.087
emd_36567,800,1.087
emd_36568,800,1.087
emd_36583,800,1.087
emd_36584,800,1.087
emd_36586,800,1.087
emd_36587,800,1.087
emd_36588,800,1.087
emd_13981,540,0.83
emd_14801,256,0.889
emd_14852,256,0.889
emd_16519,376,1.6000001
emd_27391,640,1.245
emd_27684,320,0.8349999
emd_27717,180,1.48
emd_29299,256,1.09375
emd_29603,352,0.828
emd_33588,224,1.014
emd_33639,256,0.858
emd_33739,256,0.82
emd_33868,256,1.08
emd_33869,256,1.08
emd_34216,256,1.0979
emd_34496,256,1.014
emd_35592,240,0.9066
emd_35810,800,1.087
emd_36374,840,0.93
emd_36500,800,1.087
emd_36520,800,1.087
emd_36521,800,1.087
emd_36524,800,1.087
emd_36526,800,1.087
emd_36536,800,1.087
emd_36549,800,1.087
emd_36551,800,1.087
emd_36552,800,1.087
emd_36554,800,1.087
emd_36581,800,1.087
emd_36591,800,1.087
emd_40184,300,0.825
emd_40619,512,1.34
emd_40960,320,0.7888
emd_16145,540,1.304
emd_16327,300,1.07
emd_16344,300,1.07
emd_17114,320,1.08
emd_17117,320,1.08
emd_26258,240,1.056
emd_26260,240,1.056
emd_26261,240,1.056
emd_27483,240,1.056
emd_27630,320,0.8349999
emd_28869,320,0.82799995
emd_29247,384,1.08
emd_29390,700,1.08
emd_29392,400,1.08
emd_29553,288,0.83
emd_29572,288,0.842
emd_29903,256,1.36
emd_29978,224,1.115
emd_29979,224,1.115
emd_33685,400,1.1
emd_33686,400,1.1
emd_34124,512,0.82
emd_34126,512,0.82
emd_34128,512,0.82
emd_34130,512,0.82
emd_34133,512,0.82
emd_34135,512,0.82
emd_34181,512,0.82
emd_34497,256,1.04
emd_34551,256,0.8584
emd_34586,288,0.8584
emd_36409,200,0.85
emd_36450,256,1.32
emd_36451,256,1.32
emd_40683,240,1.056
emd_40686,240,1.056
emd_16144,300,1.2384
emd_16357,256,1.09
emd_17207,300,1.02
emd_27854,546,0.665
emd_27855,500,0.8261
emd_27857,512,0.665
emd_27858,500,0.8261
emd_27867,500,0.665
emd_27868,500,0.83
emd_27869,500,0.648
emd_27876,500,0.8261
emd_27877,500,0.83
emd_27878,500,0.8261
emd_27879,500,0.8261
emd_27880,686,0.525
emd_27884,512,0.8261
emd_27889,320,1.08
emd_27890,320,1.08
emd_28870,320,0.82799995
emd_28871,320,0.82799995
emd_28983,400,0.834
emd_29389,400,1.08
emd_34134,512,0.82
emd_35609,384,0.83
emd_35610,384,0.83
emd_35611,384,0.82
emd_35613,384,0.82
emd_35617,384,0.82
emd_36459,256,1.32
emd_40070,512,0.8248
emd_40071,512,0.8248
emd_40072,360,0.8248
emd_40073,360,0.8248
emd_40074,360,0.8248
emd_40075,360,0.8248
emd_40076,320,0.8248
emd_40621,512,1.39
emd_40684,240,1.056
emd_40691,240,1.056
emd_15577,700,0.846
emd_27487,324,0.8899999
emd_27947,560,1.2
emd_28532,512,0.67
emd_28533,512,0.67
emd_28982,400,0.834
emd_28990,400,0.834
emd_29003,360,1.149
emd_29683,300,1.0
emd_29691,360,0.872
emd_29701,360,0.872
emd_29717,360,0.872
emd_33637,256,1.0825
emd_33638,256,1.0825
emd_33644,158,0.82899994
emd_34066,348,0.8584
emd_34479,256,1.1
emd_34480,256,1.1
emd_34644,280,0.834
emd_34902,480,0.55467
emd_35369,280,0.67
emd_35686,200,1.08
emd_35830,256,1.08
emd_35928,280,0.834
emd_35930,256,0.82
emd_36167,360,1.071
emd_36170,360,1.071
emd_36175,360,1.071
emd_36177,360,1.045
emd_40735,360,1.115
emd_40738,600,1.115
emd_16214,400,0.832
emd_26348,420,0.873
emd_27317,580,0.65
emd_27951,560,1.1
emd_28845,300,1.0
emd_28984,400,0.834
emd_28985,400,0.834
emd_28989,400,0.834
emd_29071,384,1.056
emd_29640,300,1.0
emd_29676,300,1.0
emd_29690,360,0.872
emd_29716,360,0.872
emd_29859,300,1.0
emd_33451,320,0.849
emd_33632,256,1.0979
emd_34030,320,0.822
emd_34478,256,1.1
emd_34645,280,0.834
emd_34710,246,1.06
emd_35158,260,0.858
emd_35647,448,1.62
emd_35648,448,1.62
emd_35650,448,1.62
emd_35656,448,1.62
emd_35659,448,1.62
emd_35695,448,1.62
emd_35945,384,0.819
emd_36166,360,1.071
emd_36168,360,1.071
emd_36176,360,1.071
emd_40669,360,1.115
emd_40675,128,1.44
emd_16713,480,0.82199997
emd_16714,480,0.82199997
emd_16716,300,0.822
emd_16717,480,0.82199997
emd_17206,320,0.95625
emd_17446,480,0.82199997
emd_17447,480,0.82199997
emd_27593,400,0.84599996
emd_27825,256,1.05
emd_28961,256,0.87
emd_29917,256,0.87
emd_35585,448,1.62
emd_35589,448,1.62
emd_35593,448,1.62
emd_35644,448,1.62
emd_35645,448,1.62
emd_35913,256,0.73
emd_35914,256,0.824
emd_35915,256,0.824
emd_35954,448,1.62
emd_35955,448,1.62
emd_35956,448,1.62
emd_35957,448,1.62
emd_35958,448,1.62
emd_35976,256,1.632
emd_36221,360,1.045
emd_36227,360,1.071
emd_36286,360,1.071
emd_36287,360,1.045
emd_40346,320,1.05
emd_41052,360,1.05
emd_41055,360,1.115
emd_15070,448,0.862
emd_16036,200,1.059
emd_16827,384,0.96
emd_16894,500,1.065
emd_16896,500,1.065
emd_16897,512,1.06
emd_16899,512,1.06
emd_27257,250,1.284
emd_27259,250,1.284
emd_27261,240,1.07
emd_27269,256,1.15
emd_27719,320,0.82799995
emd_27737,320,0.82799995
emd_27739,320,0.82799995
emd_27756,320,1.029
emd_28732,480,1.079
emd_28733,240,2.112
emd_29416,420,0.828
emd_29533,512,0.675
emd_29658,200,1.029
emd_33559,320,0.84
emd_33563,280,0.95314
emd_33564,320,0.834
emd_33565,320,0.834
emd_33845,256,1.1
emd_34237,320,0.834
emd_34373,840,0.93
emd_34443,220,0.85
emd_34896,288,1.1
emd_35193,288,0.865
emd_35632,260,0.93
emd_35642,320,0.9599999
emd_40557,340,0.8299999
emd_40905,360,0.66
emd_40907,360,0.66
emd_15065,400,0.889
emd_15092,200,1.24652
emd_15093,200,1.2555
emd_16212,400,0.832
emd_16898,512,1.06
emd_17539,384,1.118
emd_17540,384,1.1
emd_26349,420,0.873
emd_27260,230,1.07
emd_27707,320,0.82799995
emd_27724,210,1.16
emd_27751,320,0.82799995
emd_29412,420,0.828
emd_29413,420,0.828
emd_29414,420,0.828
emd_29417,420,0.828
emd_29534,512,0.675
emd_33566,320,0.834
emd_33567,320,0.834
emd_33570,240,0.82
emd_33849,300,1.0825
emd_33850,300,1.0825
emd_33852,300,1.0825
emd_34209,400,0.8489999
emd_34214,320,0.82
emd_34403,700,1.2
emd_35197,256,1.0825
emd_35198,256,1.0825
emd_35630,260,0.93
emd_35641,384,0.832
emd_35643,320,0.9599999
emd_35975,256,1.0979
emd_40455,600,0.415
emd_15026,384,0.44999996
emd_15290,300,1.065
emd_16037,300,1.059
emd_16038,300,1.059
emd_16040,500,1.084
emd_16427,260,1.145
emd_17462,288,0.832
emd_17541,256,1.69
emd_27693,380,1.045
emd_27708,320,0.82799995
emd_27720,320,0.82799995
emd_28734,168,1.6512
emd_28735,480,1.079
emd_28737,150,2.112
emd_28738,200,2.112
emd_28893,288,1.0694
emd_29365,200,1.06
emd_29366,300,0.84
emd_29415,420,0.828
emd_32770,360,1.07
emd_33507,200,1.0742
emd_33848,300,1.0825
emd_34084,400,1.096
emd_34380,840,0.93
emd_34381,840,0.93
emd_34382,840,0.93
emd_34384,840,0.93
emd_34404,700,1.2
emd_34405,700,1.2
emd_34893,440,1.1
emd_34894,384,1.1
emd_34897,384,1.1
emd_34899,336,1.1
emd_35205,500,0.858
emd_15291,300,1.065
emd_15674,450,0.848
emd_15773,450,0.848
emd_15861,320,1.1
emd_16070,520,1.304
emd_16264,300,0.83
emd_16428,260,1.145
emd_16429,260,1.1
emd_16430,260,1.1
emd_27096,256,1.1
emd_27206,480,0.83
emd_27441,558,0.675
emd_28181,200,1.15
emd_28182,300,1.15
emd_28183,300,1.045
emd_28184,300,1.15
